title,asin,price,rating,reviews,link,thumbnail,category,directions
AXIS-Y Dark Spot Correcting Glow Serum - 5% Niacinamide Dark Spot Remover For Face - Vegan Korean Skin Care Niacinamide Serum for All Skin Types - 1.69 fl. oz.,B091238V7N,$10.99,4.2,8800.0,https://www.amazon.com/AXIS-Y-Correcting-Niacinamide-Hyperpigmentation-skintone/dp/B091238V7N/,https://m.media-amazon.com/images/I/611GxwX36uL._AC_UL320_.jpg,serum,"Apply 3-5 drops to clean, dry face before moisturizer. Gently press into skin, don't rub vigorously. Use morning and/or evening as directed."
Good Molecules Discoloration Correcting Serum - Tranexamic Acid and Niacinamide Serum to Target Dark Spots and Hyperpigmentation - Skin Care for Face,B08RJ4ZHXJ,$11.97,4.4,12300.0,https://www.amazon.com/GOOD-MOLECULES-Discoloration-Correcting-Serum/dp/B08RJ4ZHXJ/,https://m.media-amazon.com/images/I/71LL0S+HVsL._AC_UL320_.jpg,serum,"Apply to clean, dry skin in the evening. Start 2-3 times per week, increase as tolerated. Always follow with SPF in the morning."
"The Ordinary Alpha Arbutin 2% + Hyaluronic Acid, Brightens Skin and Targets Dark Spots, 1 Fl Oz",B06XCZFCFZ,$11.50,4.5,5000.0,https://www.amazon.com/Ordinary-Alpha-Arbutin-2-30ml/dp/B06XCZFCFZ/,https://m.media-amazon.com/images/I/61Nlmu-OCiL._AC_UL320_.jpg,other,"Follow product-specific instructions on packaging. If unsure, consult with a dermatologist or skincare professional. Start with minimal use and increase as tolerated."
"medicube TXA+Niacinamide 15% Glow Facial Serum for After Spot Care | All-in-One Daily Korean Skincare | Uneven Skin Tone, Texture, and Hydration Care | High-Potency Tranexamic Acid 5% | 1.01 fl.oz",B0DVSNQ37F,$14.90,4.5,1100.0,https://www.amazon.com/medicube-Niacinamide-Hydration-High-Potency-Tranexamic/dp/B0DVSNQ37F/,https://m.media-amazon.com/images/I/61hJlq6WVmL._AC_UL320_.jpg,serum,"Apply to clean, dry skin in the evening. Start 2-3 times per week, increase as tolerated. Always follow with SPF in the morning."
"VALITIC Kojic Acid Dark Spot Remover Soap Bars with Vitamin C, Retinol, Collagen, Turmeric - Original Japanese Complex Infused with Hyaluronic Acid, Vitamin E, Shea Butter, Castile Olive Oil (2 Pack)",B09MFMCTRK,$11.99,4.2,60100.0,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/,https://m.media-amazon.com/images/I/61kDhkUHcYL._AC_UL320_.jpg,oil,"Apply 2-4 drops to clean, damp skin. Gently press into face and neck. Can be mixed with moisturizer or used as final step. Use evening only initially, add morning use if desired."
"Olay Pro-X Dermatological Even Skin Tone Spot Fading Treatment Serum, 1.3 oz",B0F8RGHPSB,$17.49,4.6,5700.0,https://www.amazon.com/Olay-Pro-X-Dermatological-Fading-Treatment/dp/B0F8RGHPSB/,https://m.media-amazon.com/images/I/61QIjQ2+NIL._AC_UL320_.jpg,serum,"Apply 3-5 drops to clean, dry face before moisturizer. Gently press into skin, don't rub vigorously. Use morning and/or evening as directed."
"CeraVe Resurfacing Retinol Serum For Post Acne Marks, Formulated With Licorice Root Extract & Niacinamide, Brightening Serum & Pore Minimizer For Face, Post Acne Skin Barrier Repair, Non-Comedogenic",B07VWSN95S,$15.08,4.6,53800.0,https://www.amazon.com/CeraVe-Post-Acne-Refining-Resurfacing-Brightening/dp/B07VWSN95S/,https://m.media-amazon.com/images/I/71zvPJqU7FL._AC_UL320_.jpg,serum,"Apply 3-5 drops to clean, dry face before moisturizer. Gently press into skin, don't rub vigorously. Use morning and/or evening as directed."
Hydroquinone,B084BZPN2X,$26.00,,,https://pharmacy.amazon.com/Acella-Pharma-HYDROQUINONE-CREAM-Tube/dp/B084BZPN2X/,https://m.media-amazon.com/images/I/41hhL5PbHUL._UL320_.jpg,other,"Follow product-specific instructions on packaging. If unsure, consult with a dermatologist or skincare professional. Start with minimal use and increase as tolerated."
"ANUA Niacinamide 10 + TXA 4 Serum, Hyaluronic Acid, Tranexamic acid, Facial Serum For GlassSkin, Glow Back Serum, Dark Spot Care, Postnatal Skincare, Korean Skincare (30ml/1.01 fl.oz)",B0CLLV2T1P,$15.40,4.4,10200.0,https://www.amazon.com/Niacinamide-Tranexamic-Hyaluronic-Sensitive-Fragrance-Free/dp/B0CLLV2T1P/,https://m.media-amazon.com/images/I/61EpVSwr1sL._AC_UL320_.jpg,serum,Apply to damp skin after cleansing. Pat gently into face and neck. Follow with moisturizer to seal in hydration.
EnaSkin Dark Spot Remover Face & Body Serum: Age Spot Sun Spot Freckles Melasma Brown Spot - Advanced Formula with Niacinamide for Women and Men (1.0 Fl Oz),B0D8JTPVMN,$18.69,4.0,26700.0,https://www.amazon.com/EnaSkin-Dark-Spot-Corrector-Serum/dp/B0D8JTPVMN/,https://m.media-amazon.com/images/I/71a4W64tZtL._AC_UL320_.jpg,serum,"Apply 3-5 drops to clean, dry face before moisturizer. Gently press into skin, don't rub vigorously. Use morning and/or evening as directed."
