title,asin,price,rating,reviews,link,thumbnail,category,directions
"The Face Shop Rice Water Bright Foaming Facial Cleanser with Ceramide, Gentle Face Wash for Hydrating & Moisturizing, Vegan Face Cleanser, Makeup Remover, Korean Skin Care for All Skin Types, 150ml",B00FJ2LU2Q,$9.99,4.5,22800.0,https://www.amazon.com/dp/B00FJ2LU2Q/,https://m.media-amazon.com/images/I/51xyAU9xzpL._AC_UL320_.jpg,cleanser,"Wet face with lukewarm water. Apply a small amount to fingertips and gently massage onto face in circular motions for 30-60 seconds, avoiding eye area. Rinse thoroughly with water and pat dry. Use morning and evening."
"COSRX Snail Mucin 92% Face Moisturizer, 3.52 Oz, Lightweight Moisturing Cream for Soft, Glowy Skin, Korean Skin Care, Korean Moisturizer Face Cream, Stocking Stuffers for Women",B01LEJ5MSK,$13.99,4.5,55700.0,https://www.amazon.com/dp/B01LEJ5MSK/,https://m.media-amazon.com/images/I/71Msn18lZcL._AC_UL320_.jpg,cream,"Apply to clean, dry skin morning and/or evening. Take a small amount, warm between fingertips, and gently press onto face and neck. Allow to absorb before applying makeup or sunscreen."
"belif Aqua Bomb – Daily Niacinamide Hydrating Moisturizer, Lightweight Plumping Facial Cream with Hyaluronic Acid & Squalane, Cooling Effect, Anti-Aging Korean Skincare, 0.84 fl oz (25ml)",B0CRS3433N,$15.99,4.7,1700.0,https://www.amazon.com/dp/B0CRS3433N/,https://m.media-amazon.com/images/I/61THPZQto+L._AC_UL320_.jpg,cream,"Apply to clean, dry skin morning and/or evening. Take a small amount, warm between fingertips, and gently press onto face and neck. Allow to absorb before applying makeup or sunscreen."
"BYOMA Moisturizing Gel Cream - Barrier Repair Cream/Gel Face Lotion with Niacinamide and Green Tea - Ceramide Face Moisturizer for Dry Skin - Alcohol Free, Oil Free Face Moisturizer - 1.69 fl. oz",B0BJ74DJXG,$11.99,4.4,3400.0,https://www.amazon.com/dp/B0BJ74DJXG/,https://m.media-amazon.com/images/I/418PVhQTfOL._AC_UL320_.jpg,treatment,"Apply 3-5 drops to entire face after cleansing, before moisturizer. Can be used morning and evening."
"NIVEA Intense Healing Body Lotion for Very Dry, Itchy Skin with Glycerin, Provitamin B5 and Niacinamide, 72-Hour Body Moisturizer, Holiday Gifts for Self Care, 16.9 Fl Oz Pump Bottle",B00DG8EZKO,$4.94,4.7,27500.0,https://www.amazon.com/NIVEA-Intense-Healing-Body-Lotion/dp/B00DG8EZKO/,https://m.media-amazon.com/images/I/71KhAOK5WxL._AC_UL320_.jpg,lotion,"Apply to clean skin morning and/or evening. Dispense 2-3 pumps, apply to face and neck in gentle upward strokes. Allow to absorb fully."
"medicube Collagen Jelly Cream- Niacinamide & Freeze-Dried Hydrolyzed Collagen-Boosts skin barrier hydration & gives 24h Glow & Firmer looking skin | No artificial color, Korean skincare (3.71 fl.oz.)",B0CM2PPNMW,$11.64,4.4,14000.0,https://www.amazon.com/Medicube-Collagen-Niacinamide-Freeze-Dried-Hydrolyzed/dp/B0CM2PPNMW/,https://m.media-amazon.com/images/I/61leLgR06vL._AC_UL320_.jpg,cream,"Apply to clean, dry skin morning and/or evening. Take a small amount, warm between fingertips, and gently press onto face and neck. Allow to absorb before applying makeup or sunscreen."
"Aquaphor Healing Balm Stick, Skin Protectant with Avocado Oil and Shea Butter, Holiday Gifts for Self Care, 0.65 Oz Stick",B09RYRCXKM,$7.33,4.8,12000.0,https://www.amazon.com/Aquaphor-Healing-Protectant-Avocado-Butter/dp/B09RYRCXKM/,https://m.media-amazon.com/images/I/61NBdUnnTKL._AC_UL320_.jpg,oil,"Apply 2-4 drops to clean, damp skin. Gently press into face and neck. Can be mixed with moisturizer or used as final step. Use evening only initially, add morning use if desired."
"CeraVe Moisturizing Cream, Body and Face Moisturizer for Dry Skin, Body Cream with Hyaluronic Acid and Ceramides, Daily Moisturizer, Oil-Free, Fragrance Free, Non-Comedogenic, 19 Ounce",B00TTD9BRC,$15.60,4.7,138600.0,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/,https://m.media-amazon.com/images/I/61EidjXUBrL._AC_UL320_.jpg,cream,"Apply to clean, dry skin morning and/or evening. Take a small amount, warm between fingertips, and gently press onto face and neck. Allow to absorb before applying makeup or sunscreen."
"AmLactin Daily Nourish - Therapeutic Body Lotion for Dry Skin - No-Scrub Exfoliator and Moisturizer with 12% Lactic Acid AHA, 14.1 oz (Packaging May Vary)",B07BRDVQ4B,$11.38,4.4,33500.0,https://www.amazon.com/AmLactin-Moisturizing-Lotion-Bottle-Paraben/dp/B07BRDVQ4B/,https://m.media-amazon.com/images/I/71NUDcMxOkL._AC_UL320_.jpg,lotion,"Apply to clean skin morning and/or evening. Dispense 2-3 pumps, apply to face and neck in gentle upward strokes. Allow to absorb fully."
"CeraVe Hydrating Facial Cleanser, Moisturizing Face Wash For Dry Skin, Hyaluronic Acid + Ceramides + Glycerin, Hydrating Cleanser For Normal To Dry Skin, National Eczema Association Certified",B01MSSDEPK,$15.97,4.7,126000.0,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/,https://m.media-amazon.com/images/I/51DbQev1thL._AC_UL320_.jpg,cleanser,"Wet face with lukewarm water. Apply a small amount to fingertips and gently massage onto face in circular motions for 30-60 seconds, avoiding eye area. Rinse thoroughly with water and pat dry. Use morning and evening."
