title,asin,price,rating,reviews,link,thumbnail
"Eucerin Eczema Relief Hydrogel for Dry, Itchy, Eczema-Prone Skin, Fragrance Free and Steroid Free Body Moisturizer for Dry Skin, 5 Fl Oz Tube",B0DFKGK8CB,$15.47,4.5,423,https://www.amazon.com/dp/B0DFKGK8CB/,https://m.media-amazon.com/images/I/51WEJJQOJqL._AC_UL320_.jpg
"Aveeno Eczema Therapy Daily Moisturizing Body Cream for Sensitive Skin, Soothing Eczema Relief Cream, Colloidal Oatmeal & Ceramide for Dry & Itchy Skin, Steroid- & Fragrance-Free, 7.3 oz",B003O7IBZC,$10.85,4.6,10600,https://www.amazon.com/dp/B003O7IBZC/,https://m.media-amazon.com/images/I/61TkjlTeiOL._AC_UL320_.jpg
"Eucerin Eczema Relief Body Cream, Eczema Cream with Colloidal Oatmeal, Ceramide-3 and Licorice Root Extract, 14 Oz Tube",B07V4NVKJT,$17.97,4.7,4900,https://www.amazon.com/dp/B07V4NVKJT/,https://m.media-amazon.com/images/I/51amyh6PYoL._AC_UL320_.jpg
"ECZEMA HONEY Oatmeal Facial Cleanser - Natural Eczema Face Wash Prevents Breakouts - Daily Gentle Face Cleanser for Dry, Itchy, Sensitive, & Irritable Skin (6 Oz)",B09N5VGFD3,$15.96,4.4,540,https://www.amazon.com/dp/B09N5VGFD3/,https://m.media-amazon.com/images/I/51JcE5WUsiL._AC_UL320_.jpg
"Cortizone-10 Maximum Strength Intensive Healing Itch Relief Lotion for Eczema, 1% Hydrocortisone, Fast-Acting, Anti-Itch Cream for Minor Skin Irritations, Rashes and Inflammation Due to Eczema, 3.5 oz",B00314GCJU,$7.50,4.7,27100,https://www.amazon.com/Cortizone-10-Intensive-Healing-Fragrance/dp/B00314GCJU/,https://m.media-amazon.com/images/I/61pVHsgxxtL._AC_UL320_.jpg
"TUBBY TODD All Over Ointment - Baby Eczema Cream, Everyday Multi-Purpose Sensitive, Dry, Irritation Baby Skin Relief Cream, Steroid & Gluten Free, Fragrance Free, 3.5 oz & 8oz, 2 Pack",B0DR3DD2WS,$46.40,4.6,1800,https://www.amazon.com/TUBBY-TODD-Over-Ointment-Multi-Purpose/dp/B0DR3DD2WS/,https://m.media-amazon.com/images/I/61Fj5bADXLL._AC_UL320_.jpg
"Aveeno Eczema Therapy Itch Relief Balm with Colloidal Oatmeal & Ceramide for Dry Itchy Skin, Non-Greasy, Steroid-, Fragrance- & Paraben-Free Moisturizing Skin Protectant Cream, 11 oz",B01HOHBWOY,$18.97,4.6,13000,https://www.amazon.com/Aveeno-Non-Greasy-Fragrance-Paraben-Free-Moisturizing/dp/B01HOHBWOY/,https://m.media-amazon.com/images/I/71p+bfif9EL._AC_UL320_.jpg
"Eucerin Eczema Relief Cream, Full Body Lotion, Moisturizing Eczema Cream with Colloidal Oatmeal (Skin Protectant) and Ceramide 3, 8 Oz Tube",B00DEXA0LY,$10.38,4.7,16900,https://www.amazon.com/Eucerin-Moisturizing-Colloidal-Protectant-Ceramide/dp/B00DEXA0LY/,https://m.media-amazon.com/images/I/61kOojGpQ2L._AC_UL320_.jpg
"Aveeno Baby Eczema Therapy Nighttime Body Balm, Moisturizing Eczema Treatment, Ceramides, Triple Oat Complex, Soothes Dry, Itchy Skin, Hypoallergenic, Fragrance & Steroid Free, 11oz",B01HI7VY84,$18.70,4.8,14800,https://www.amazon.com/Aveeno-Baby-Nighttime-Colloidal-Dimethicone/dp/B01HI7VY84/,https://m.media-amazon.com/images/I/71NjlaxL6fL._AC_UL320_.jpg
"Gold Bond Medicated Eczema Relief Skin Protectant Cream, 8 oz., With 2% Colloidal Oatmeal",B00GIHMOGW,$7.88,4.7,14200,https://www.amazon.com/Gold-Bond-Ultimate-Eczema-Protectant/dp/B00GIHMOGW/,https://m.media-amazon.com/images/I/61uQD8TKqnL._AC_UL320_.jpg
