title,asin,price,rating,reviews,link,thumbnail
"numbuzin No.5 Toner Pads | Vitamin-Niacinamide Concentrated Pad | Double-Sided | Glutathione, Niacinamide, PHA & LHA | Exfoliation, Hyperpigmentation Care | 70 Pads/180 ml",B0C61CJ66L,$15.60,4.5,4000,https://www.amazon.com/dp/B0C61CJ66L/,https://m.media-amazon.com/images/I/61p1FFZp1CL._AC_UL320_.jpg
"ANUA Niacinamide 10 + TXA 4 Serum, Hyaluronic Acid, Tranexamic acid, Facial Serum For GlassSkin, Glow Back Serum, Dark Spot Care, Postnatal Skincare, Korean Skincare (30ml/1.01 fl.oz)",B0CLLV2T1P,$15.40,4.4,10200,https://www.amazon.com/dp/B0CLLV2T1P/,https://m.media-amazon.com/images/I/61EpVSwr1sL._AC_UL320_.jpg
"PURITO TXA 6% + Niacinamide 10% + Retinal Facial Serum | for Dark Spots, Hyperpigmentation, Uneven Tone | High-Level Tranexamic Acid 6% | Korean skincare, 30mL 1.01 fl.oz",B0FP1J7B35,$13.99,4.4,202,https://www.amazon.com/dp/B0FP1J7B35/,https://m.media-amazon.com/images/I/61theMDQUTL._AC_UL320_.jpg
Good Molecules Discoloration Correcting Serum - Tranexamic Acid and Niacinamide Serum to Target Dark Spots and Hyperpigmentation - Skin Care for Face,B08RJ4ZHXJ,$11.97,4.4,12300,https://www.amazon.com/dp/B08RJ4ZHXJ/,https://m.media-amazon.com/images/I/71LL0S+HVsL._AC_UL320_.jpg
"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening and Smoothing Daily Toner for More Even-Looking Skin Tone",B0DMTDN158,$8.70,4.7,36800,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B0DMTDN158/,https://m.media-amazon.com/images/I/51maLJWzPyL._AC_UL320_.jpg
Good Molecules Discoloration Correcting Serum - Tranexamic Acid and Niacinamide Serum to Target Dark Spots and Hyperpigmentation - Skin Care for Face,B08RJ4ZHXJ,$11.97,4.4,12300,https://www.amazon.com/GOOD-MOLECULES-Discoloration-Correcting-Serum/dp/B08RJ4ZHXJ/,https://m.media-amazon.com/images/I/71LL0S+HVsL._AC_UL320_.jpg
"TOSOWOONG Arbutin 7% + Tranexamic Acid 4% Cream, 70,000ppm Arbutin, 40,000ppm TXA, Niacinamide, Glutathione, Dark Spots, Freckle, Blemishes, Pigmentation, Korean Skin Care, 50ml, 1.69 fl.oz.",B0DPPL76XJ,$17.50,4.3,2900,https://www.amazon.com/TOSOWOONG-Tranexamic-Niacinamide-Glutathione-Pigmentation/dp/B0DPPL76XJ/,https://m.media-amazon.com/images/I/614yBRX5-cL._AC_UL320_.jpg
"medicube TXA+Niacinamide 15% Glow Facial Serum for After Spot Care | All-in-One Daily Korean Skincare | Uneven Skin Tone, Texture, and Hydration Care | High-Potency Tranexamic Acid 5% | 1.01 fl.oz",B0DVSNQ37F,$14.90,4.5,1100,https://www.amazon.com/medicube-Niacinamide-Hydration-High-Potency-Tranexamic/dp/B0DVSNQ37F/,https://m.media-amazon.com/images/I/61hJlq6WVmL._AC_UL320_.jpg
AXIS-Y Dark Spot Correcting Glow Serum - 5% Niacinamide Dark Spot Remover For Face - Vegan Korean Skin Care Niacinamide Serum for All Skin Types - 1.69 fl. oz.,B091238V7N,$10.99,4.2,8800,https://www.amazon.com/AXIS-Y-Correcting-Niacinamide-Hyperpigmentation-skintone/dp/B091238V7N/,https://m.media-amazon.com/images/I/611GxwX36uL._AC_UL320_.jpg
"VALITIC Kojic Acid Dark Spot Remover Soap Bars with Vitamin C, Retinol, Collagen, Turmeric - Original Japanese Complex Infused with Hyaluronic Acid, Vitamin E, Shea Butter, Castile Olive Oil (2 Pack)",B09MFMCTRK,$11.99,4.2,60100,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/,https://m.media-amazon.com/images/I/61kDhkUHcYL._AC_UL320_.jpg
"Hero Cosmetics Mighty Patch Micropoint™ for Dark Spots - Post-Blemish Dark Spot Patch with 395 Micropoints, Dermatologist Tested and Non-irritating (8 Count)",B0BS49YW8Z,$10.38,4.0,1600,https://www.amazon.com/dp/B0BS49YW8Z/,https://m.media-amazon.com/images/I/51DmfA9QGSL._AC_UL320_.jpg
