title,asin,price,rating,reviews,link,thumbnail,category,directions
"PURITO TXA 6% + Niacinamide 10% + Retinal Facial Serum | for Dark Spots, Hyperpigmentation, Uneven Tone | High-Level Tranexamic Acid 6% | Korean skincare, 30mL 1.01 fl.oz",B0FP1J7B35,$13.99,4.4,202.0,https://www.amazon.com/dp/B0FP1J7B35/,https://m.media-amazon.com/images/I/61theMDQUTL._AC_UL320_.jpg,serum,"Apply to clean, dry skin in the evening. Start 2-3 times per week, increase as tolerated. Always follow with SPF in the morning."
"Melasma Treatment for Face - Melasma Cream & Age Spot Remover for Skin Discoloration, Post-Blemish Marks, Scars & Spots | Dark Spot Remover for Face & Body",B0CHXN87X6,$24.99,3.9,654.0,https://www.amazon.com/dp/B0CHXN87X6/,https://m.media-amazon.com/images/I/715VJduO7rL._AC_UL320_.jpg,treatment,"Apply a thin layer to clean, dry skin. Start with 2-3 times per week, gradually increase frequency as tolerated. Use sunscreen during the day."
"Dark Spot Remover for Face & Body, Advanced Formula with Niacinamide Dark Spot Corrector for Age Spot Sun Spot Freckles Melasma Brown Spot, Dark Spot Correcting Serum for Women Man All Skin Types",B0FFH3F5BB,$22.90,4.5,18.0,https://www.amazon.com/dp/B0FFH3F5BB/,https://m.media-amazon.com/images/I/71SJ4QikFHL._AC_UL320_.jpg,spot_treatment,"After cleansing, apply a small amount directly to individual blemishes. Do not apply to entire face. Use 1-2 times daily. Allow to dry completely before applying other products."
"Dark Spot Remover for Face & Body, Dark Spot Corrector- Age Spot Sun Spot Freckles Melasma Brown Spot Remover Skin Care Repair Cream for All Skin Types1.7 FLOZ",B0FDQHT7T5,$19.99,4.6,96.0,https://www.amazon.com/dp/B0FDQHT7T5/,https://m.media-amazon.com/images/I/71h2IkZxVmL._AC_UL320_.jpg,spot_treatment,"After cleansing, apply a small amount directly to individual blemishes. Do not apply to entire face. Use 1-2 times daily. Allow to dry completely before applying other products."
"TOSOWOONG Arbutin 7% + Tranexamic Acid 4% Cream, 70,000ppm Arbutin, 40,000ppm TXA, Niacinamide, Glutathione, Dark Spots, Freckle, Blemishes, Pigmentation, Korean Skin Care, 50ml, 1.69 fl.oz.",B0DPPL76XJ,$17.50,4.3,2900.0,https://www.amazon.com/TOSOWOONG-Tranexamic-Niacinamide-Glutathione-Pigmentation/dp/B0DPPL76XJ/,https://m.media-amazon.com/images/I/614yBRX5-cL._AC_UL320_.jpg,cream,"Apply to clean, dry skin morning and/or evening. Take a small amount, warm between fingertips, and gently press onto face and neck. Allow to absorb before applying makeup or sunscreen."
Good Molecules Discoloration Correcting Serum - Tranexamic Acid and Niacinamide Serum to Target Dark Spots and Hyperpigmentation - Skin Care for Face,B08RJ4ZHXJ,$11.97,4.4,12300.0,https://www.amazon.com/GOOD-MOLECULES-Discoloration-Correcting-Serum/dp/B08RJ4ZHXJ/,https://m.media-amazon.com/images/I/71LL0S+HVsL._AC_UL320_.jpg,serum,"Apply to clean, dry skin in the evening. Start 2-3 times per week, increase as tolerated. Always follow with SPF in the morning."
"The Ordinary Alpha Arbutin 2% + Hyaluronic Acid, Brightens Skin and Targets Dark Spots, 1 Fl Oz",B06XCZFCFZ,$11.50,4.5,5000.0,https://www.amazon.com/Ordinary-Alpha-Arbutin-2-30ml/dp/B06XCZFCFZ/,https://m.media-amazon.com/images/I/61Nlmu-OCiL._AC_UL320_.jpg,other,"Follow product-specific instructions on packaging. If unsure, consult with a dermatologist or skincare professional. Start with minimal use and increase as tolerated."
"medicube TXA+Niacinamide 15% Glow Facial Serum for After Spot Care | All-in-One Daily Korean Skincare | Uneven Skin Tone, Texture, and Hydration Care | High-Potency Tranexamic Acid 5% | 1.01 fl.oz",B0DVSNQ37F,$14.90,4.5,1100.0,https://www.amazon.com/medicube-Niacinamide-Hydration-High-Potency-Tranexamic/dp/B0DVSNQ37F/,https://m.media-amazon.com/images/I/61hJlq6WVmL._AC_UL320_.jpg,serum,"Apply to clean, dry skin in the evening. Start 2-3 times per week, increase as tolerated. Always follow with SPF in the morning."
EnaSkin Dark Spot Remover Face & Body Serum: Age Spot Sun Spot Freckles Melasma Brown Spot - Advanced Formula with Niacinamide for Women and Men (1.0 Fl Oz),B0D8JTPVMN,$18.69,4.0,26700.0,https://www.amazon.com/EnaSkin-Dark-Spot-Corrector-Serum/dp/B0D8JTPVMN/,https://m.media-amazon.com/images/I/71a4W64tZtL._AC_UL320_.jpg,serum,"Apply 3-5 drops to clean, dry face before moisturizer. Gently press into skin, don't rub vigorously. Use morning and/or evening as directed."
"La Roche-Posay Mela B3 Serum, Dark Spot Corrector With Anti-Aging Melasyl + 10% Niacinamide, Discoloration Correcting Serum for Sun Spots, Age Spots & Post-Acne Marks",B0CM4B43DZ,$44.99,4.3,9500.0,https://www.amazon.com/Roche-Posay-Anti-Aging-Niacinamide-Discoloration-Long-Lasting/dp/B0CM4B43DZ/,https://m.media-amazon.com/images/I/61tA9KoeafL._AC_UL320_.jpg,spot_treatment,"After cleansing, apply a small amount directly to individual blemishes. Do not apply to entire face. Use 1-2 times daily. Allow to dry completely before applying other products."
