title,asin,price,rating,reviews,link,thumbnail
"CeraVe Moisturizing Cream for Psoriasis Treatment, With Salicylic Acid for Dry Skin Itch Relief & Urea for Moisturizing, Fragrance Free & Allergy Tested, 8 Oz",B075N8392D,$21.82,4.3,15100,https://www.amazon.com/CeraVe-Moisturizing-Psoriasis-Treatment-Salicylic/dp/B075N8392D/,https://m.media-amazon.com/images/I/71Z5+qe47jL._AC_UL320_.jpg
"Nizoral Psoriasis Shampoo & Conditioner - Effective Scalp Psoriasis Treatment, 11 Ounce",B08QN72JCY,$17.88,4.4,12000,https://www.amazon.com/Nizoral-Psoriasis-Shampoo-Conditioner-Scalp/dp/B08QN72JCY/,https://m.media-amazon.com/images/I/71dtHe5aY4L._AC_UL320_.jpg
"Gold Bond Multi-Symptom Psoriasis Relief Cream, 4 oz., for Itchy, Irritated & Scaling Skin",B01KVU94VY,$9.97,4.5,7700,https://www.amazon.com/Multi-Symptom-Psoriasis-Relief-Irritated-Scaling/dp/B01KVU94VY/,https://m.media-amazon.com/images/I/712XmpovE9L._AC_UL320_.jpg
"Leave In Conditioner Spray - Tee Trea Scalp Treatment - Anti-Dandruff and Dry & Itchy Scalp treatment, Hydrating & Medicated Formula for Psoriasis and Scalp Care - Detangles & Nourishes Hair.",B07PNW95P9,$9.99,4.4,8000,https://www.amazon.com/Leave-Conditioner-Spray-Treatment-Anti-Dandruff/dp/B07PNW95P9/,https://m.media-amazon.com/images/I/61bUsPI8MEL._AC_UL320_.jpg
"CeraVe Cleanser for Psoriasis Treatment, With Salicylic Acid for Dry Skin Itch Relief & Latic Acid for Exfoliation, Fragrance Free & Allergy Tested, 8 Ounce",B075N8CDGT,$16.99,4.4,7000,https://www.amazon.com/CeraVe-Psoriasis-Therapy-Cleanser-Ounce/dp/B075N8CDGT/,https://m.media-amazon.com/images/I/51WRR1GTj1L._AC_UL320_.jpg
"Neutrogena T/Sal Therapeutic Dandruff Shampoo, Scalp Build-Up Control, 3% Salicylic Acid, Scalp Psoriasis Treatment, Seborrheic Dermatitis Shampoo, Clears & Controls Flakes, Fragrance Free, 4.5 fl oz",B00UOL93CG,$6.95,4.5,16300,https://www.amazon.com/Neutrogena-Therapeutic-Salicylic-Seborrheic-Dermatitis/dp/B00UOL93CG/,https://m.media-amazon.com/images/I/6188n2XmoHL._AC_UL320_.jpg
5Pcs Chinese Herbal Eczema Psoriasis Creams Dermatitis and Eczema Pruritus Psoriasis Ointment,B0FFN529CY,$19.99,4.6,152,https://www.amazon.com/BaiSntg-Psoriasis-Dermatitis-Pruritus-Ointment/dp/B0FFN529CY/,https://m.media-amazon.com/images/I/816+TtMpovL._AC_UL320_.jpg
"Kenkoderm Psoriasis Dead Sea Mud Soap with Argan Oil & Shea Butter, Natural Exfoliating Body & Face Cleanser for Sensitive Skin, Fragrance & Color-Free, 4.25 Ounce, 1 Bar",B07VMJM2Q9,$7.99,4.3,6100,https://www.amazon.com/Kenkoderm-Psoriasis-Dead-Argan-Butter/dp/B07VMJM2Q9/,https://m.media-amazon.com/images/I/516sraByHjS._AC_UL320_.jpg
Clobetasol Propionate,B084BQBTQC,$5.00,,,https://pharmacy.amazon.com/CLOBETASOL-PROPIONATE-TOPICAL-SOLUTION-Milliliter/dp/B084BQBTQC/,https://m.media-amazon.com/images/I/51c2EGgKIBL._UL320_.jpg
"Psoriasin Deep Moisturizing Ointment - 2% Coal Tar - Stops Psoriasis Itching, Scaling, Redness - 4.2 oz",B0B6WSJJN7,$13.49,4.3,1100,https://www.amazon.com/Psoriasin-Deep-Moisturizing-Ointment-Psoriasis/dp/B0B6WSJJN7/,https://m.media-amazon.com/images/I/71ZLVZ2+drL._AC_UL320_.jpg
Stelara,B084BZT9ST,$0.00,,,https://pharmacy.amazon.com/Janssen-STELARA-PREFILLED-SYRINGE-Milliliter/dp/B084BZT9ST/,https://m.media-amazon.com/images/I/3115XnvkFkL._UL320_.jpg
Acitretin,B084BNMYNR,$15.00,,,https://pharmacy.amazon.com/Acitretin-Generic-Soriatane-Oral-Capsule/dp/B084BNMYNR/,https://m.media-amazon.com/images/I/41VFd42LEOL._UL320_.jpg
Skyrizi,B09MVXVNP7,$25.00,,,https://pharmacy.amazon.com/AbbVie-SKYRIZI-150-INJECTOR-Milliliter/dp/B09MVXVNP7/,https://m.media-amazon.com/images/I/6177HOFi1cL._UL320_.jpg
