ID,filename,acne_count,avg_acne_width,avg_acne_height,avg_acne_area,papules_count,pustules_count,comedone_count,nodules_count,avg_redness,global_redness,skin_disease_label,skin_disease_confidence,skin_classification_labels,acne_detected,result
1,C0018498-Acne.jpg,1,41.0,23.0,943.0,0.18685463580978523,0,1,0,0,0.10478038663870802,NULL,NULL,NULL,1,NaN
2,acne-cystic-19.jpg,6,53.166666666666664,32.833333333333336,1946.3333333333333,0.21118367035728458,3,0,2,1,0.19533340708968772,Acne and Rosacea Photos,0.9323,NULL,1,NaN
3,rosacea-steroid-1.jpg,0,0,0,0,0,0,0,0,0,0.2076227048022599,Acne and Rosacea Photos,0.9437,NULL,0,NaN
4,rosacea-118.jpg,1,14.0,28.0,392.0,0.03547919167667067,0,1,0,0,0.21037259853436324,NULL,NULL,NULL,1,NaN
5,perioral-dermatitis-22.jpg,2,27.5,16.0,445.0,0.19539563232700488,0,0,2,0,0.18003598742737836,Acne and Rosacea Photos,0.8223,NULL,1,NaN
6,perioral-dermatitis-138.jpg,1,18.0,11.0,198.0,0.26456724103782925,0,0,1,0,0.05327446039362768,Acne and Rosacea Photos,0.703,NULL,1,NaN
7,R (6).jpg,2,27.5,24.0,660.0,0.25204703455210553,0,0,2,0,0.1648309315053935,Acne and Rosacea Photos,0.8987,NULL,1,NaN
8,acne-cystic-28.jpg,2,31.0,14.0,439.0,0.1865155040758359,0,1,1,0,0.15062788486392675,NULL,NULL,NULL,1,NaN
9,perioral-dermatitis-28.jpg,2,41.0,26.0,1076.0,0.1646379264266093,0,0,2,0,0.1130504436728395,Acne and Rosacea Photos,0.9362,NULL,1,NaN
10,ComedonesEars-1.jpg,1,25.0,15.0,375.0,0.1605281045751634,0,0,1,0,0.17233541274325173,Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,0.711,NULL,1,NaN
11,acne-closed-comedo-6.jpg,4,43.5,27.5,1206.0,0.21693714470886571,3,1,0,0,0.20919399308617095,NULL,NULL,NULL,1,NaN
12,OIP (17).jpg,6,17.333333333333332,10.666666666666666,189.33333333333334,0.09426144771684948,0,0,6,0,0.07980898064931678,Acne and Rosacea Photos,0.866,NULL,1,NaN
13,acne-closed-comedo-71 - Copy.jpg,0,0,0,0,0,0,0,0,0,0.2359005561288843,Viral infections,0.4864,NULL,0,NaN
14,hidradenitis-suppurativa-66.jpg,13,19.384615384615383,22.846153846153847,452.0,0.0473635078407426,3,0,10,0,0.0,NULL,NULL,NULL,1,NaN
15,19280a95363d065b1dfbc654e2853029.jpg,2,21.0,26.5,556.5,0.17415492863812193,1,0,0,1,0.13250977414364287,Acne and Rosacea Photos,0.9092,NULL,1,NaN
16,perioral-dermatitis-38.jpg,1,27.0,20.0,540.0,0.19121278140885983,0,0,1,0,0.11448251887854953,Acne and Rosacea Photos,0.9475,NULL,1,NaN
17,R (8).jpg,2,22.5,33.0,743.5,0.20632343208863296,0,1,1,0,0.14097563685894887,Acne and Rosacea Photos,0.928,NULL,1,NaN
