epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2472.96,0.45414,1.39889,1.13269,0.74473,0.89593,0.89238,0.75532,0.57132,2.09656,1.23878,0.000412458,0.000412458,0.000412458
2,5401.34,0.57863,0.97902,1.21698,0.46363,0.67873,0.51306,0.28897,1.23682,1.84856,1.87864,0.000828922,0.000828922,0.000828922
3,8374.2,0.59499,0.94443,1.2227,0.64084,0.8733,0.76205,0.44921,0.94233,2.17604,1.61806,0.00124457,0.00124457,0.00124457
4,11310.2,0.55068,0.92385,1.20975,0.73989,0.86238,0.86138,0.68595,0.68242,0.971,1.3887,0.00124725,0.00124725,0.00124725
5,14260.5,0.53166,0.85275,1.18505,0.69055,0.76923,0.78856,0.62482,0.61169,1.06661,1.23396,0.00124512,0.00124512,0.00124512
6,16638.1,0.52609,0.82181,1.19913,0.61288,0.96833,0.70751,0.60561,0.58398,1.68687,1.19547,0.00124238,0.00124238,0.00124238
7,19035.7,0.50868,0.81171,1.17594,0.71821,0.83258,0.83327,0.71659,0.54423,0.87054,1.08256,0.00123904,0.00123904,0.00123904
8,21454.7,0.48491,0.89635,1.15684,0.68585,0.8371,0.70625,0.59341,0.55483,0.94298,1.18121,0.0012351,0.0012351,0.0012351
9,23864.5,0.44962,0.83311,1.14054,0.79137,0.82387,0.87974,0.74845,0.51559,0.77707,1.05704,0.00123056,0.00123056,0.00123056
10,26266.1,0.47389,0.7613,1.15742,0.7323,0.92834,0.84428,0.72633,0.53697,0.88382,1.15788,0.00122543,0.00122543,0.00122543
11,28665.6,0.44762,0.74553,1.12684,0.79459,0.82265,0.88538,0.76071,0.49463,0.76612,1.05403,0.00121972,0.00121972,0.00121972
12,31078.9,0.44437,0.73922,1.12822,0.74389,0.90685,0.86014,0.7512,0.46439,0.74269,1.02111,0.00121342,0.00121342,0.00121342
13,33485,0.45439,0.75643,1.13294,0.80032,0.84615,0.88838,0.77568,0.45818,0.70964,1.02639,0.00120655,0.00120655,0.00120655
14,35890.3,0.40723,0.71695,1.10071,0.72829,0.93213,0.88987,0.79657,0.45276,0.86595,1.00652,0.00119911,0.00119911,0.00119911
15,38303.2,0.40935,0.72176,1.09344,0.77987,0.8009,0.87833,0.75999,0.49361,0.75178,1.02167,0.00119111,0.00119111,0.00119111
16,40708.6,0.41032,0.71323,1.09598,0.66236,0.94118,0.8089,0.72424,0.48123,1.09996,1.06293,0.00118256,0.00118256,0.00118256
17,43114.2,0.40596,0.69042,1.09705,0.80292,0.84163,0.9035,0.76595,0.51551,0.6549,1.09496,0.00117346,0.00117346,0.00117346
18,45521.2,0.39908,0.69411,1.10166,0.79576,0.84626,0.86801,0.75137,0.46502,0.68076,1.01974,0.00116383,0.00116383,0.00116383
19,48130.1,0.41127,0.74277,1.09766,0.73809,0.93088,0.87979,0.78426,0.45791,0.68337,1.00115,0.00115368,0.00115368,0.00115368
